ISSN	REVISTA	QUALIS	AREA	OBS
0720-048X	European Journal of Radiology	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1434-6001	European Physical Journal. A, Hadrons and Nuclei (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0014-3057	European Polymer Journal	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0308-8146	Food Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0016-2361	Fuel (Guildford)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0001-7701	General Relativity and Gravitation	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0016-7037	Geochimica et Cosmochimica Acta	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0094-8276	Geophysical Research Letters	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0018-9197	IEEE Journal of Quantum Electronics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1045-9227	IEEE Transactions on Neural Networks	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0966-9795	Intermetallics (Barking)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1387-3806	International Journal of Mass Spectrometry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1176-9114	International Journal of Nanomedicine (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1565-1339	International Journal of Nonlinear Sciences and Numerical Simulation	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0378-5173	International Journal of Pharmaceutics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0146-0404	Investigative Ophthalmology & Visual Science	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-8561	Journal of Agricultural and Food Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0925-8388	Journal of Alloys and Compounds	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-8979	Journal of Applied Physics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1552-4973	Journal of Biomedical Materials Research. Part B, Applied Biomaterials	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
